编号,日期,初始版本,问题/集合,状态,Microsoft 官方回复,典型反馈,备注,图像,已修复
"LGH03","4/19/2024","Canary 26100","小组件中的软件缺陷。","正在处理","无","https://github.com/Lingggao/LGHUB","列表

- 点击小组件时 Windows 崩溃 / 显示错误 - aka.ms/AAq43k9
- “待办事项” 等小组件随机消失 - aka.ms/AAq1w40
- 已固定的小组件随机消失 - aka.ms/AAq33qp
- “悬停时打开小组件板” 选项始终显示为关 - aka.ms/AAq70ys",,"False"
"LGH02","4/7/2024","Canary 26100","文件资源管理器中的软件缺陷。","正在处理","无","https://github.com/Lingggao/LGHUB","列表

- 卡顿 / 严重卡顿
- 内存泄漏
- CPU 占用率高
- 切换 “项目复选框” 选项时出现异常 - aka.ms/AApydtm
- 缩放设定为 175% 时图标模糊不清 - aka.ms/AApytl6
- 菜单中的文本可能过长 - aka.ms/AApyuo4
- 出现多个地址栏 / 搜索栏 - aka.ms/AApymuw
- 在深色模式添加新标签时窗口闪烁 - aka.ms/AAq33qn
- 导航窗格中的 OneDrive 随机变化位置 - aka.ms/AApxwbw",,"False"
"LGH01","3/13/2024","Canary 26080","仍有一些游戏在 Build 26080+ 中无法正常运行。","正在处理","大多数游戏应当可以在 Build 26080 中恢复正常运行。如果您在预览体验版本中玩游戏时发现任何问题，请务必在反馈中心提交。","https://github.com/Lingggao/LGHUB","列表

- Avatar Frontiers of Pandora (阿凡达：潘多拉边境) - aka.ms/AApmqnc
- Assassin's Creed Origins (刺客信条：起源) - aka.ms/AApmqnc
- Grand Theft Auto V (GTA 5) - aka.ms/AApjkjp - 已修复 ✓
- Electronic Arts (EA) 旗下游戏 - aka.ms/AApsxln - 已修复 ✓
- Battlefield 2042 (战地风云 2042) - aka.ms/AApjkk7 - 已修复 ✓
- PUBG (绝地求生) - aka.ms/AApjd7p - 已修复 ✓
- Watch Dogs: Legion (看门狗：军团) - aka.ms/AApr6d6 - 已修复 ✓
- FARCRY 6/5 (孤岛惊魂 6/5) - aka.ms/AApr6d6 - 已修复 ✓
- EVE Online (星战前夜) - aka.ms/AApjz1t - 已修复 ✓
- It Takes Two (双人成行) - aka.ms/AApqr1c - 已修复 ✓",,"False"
"LG165","4/24/2024","Canary 26200","无法安装可选功能。","正在调查","无","https://aka.ms/AAq44f1","无",,"False"
"LG164","4/24/2024","Canary 26200","电脑开机动画消失。","正在调查","无","https://aka.ms/AAq4mav","无",,"False"
"LG163","4/24/2024","Canary 26200","无法更改 Windows 启动设置 (如进入安全模式等)。","正在调查","无","https://aka.ms/AAq3xrr","含图像","Reserved_ImageAttachment_[14]_[_x56fe__x50cf_][5]_[LG162][1]_[1].jpg","False"
"LG162","4/19/2024","Canary 26100","Xbox 应用崩溃。","所做的更改","无","https://aka.ms/AAq33qo","无",,"True"
"LG161","4/19/2024","Canary 26100","快速设置页面中的蓝牙功能丢失。","正在调查","无","https://aka.ms/AAq26to","无",,"False"
"LG159","4/17/2024","ALL","无法使用截图工具录制视频。","所做的更改","无","https://aka.ms/AAq1obu","无",,"True"
"LG158","4/17/2024","Canary 26100","电脑卡顿 / CPU 性能下降。","正在调查","我们将持续监控用户反馈和 Windows 错误报告，以保障 Windows 的可靠性。如果您发现性能异常，请立即提交反馈，让我们了解您遇到的问题。","https://aka.ms/AAq21jx","无",,"False"
