编号,日期,初始版本,问题/集合,状态,Microsoft 官方回复,典型反馈,备注,图像,已修复
"LGH02","4/7/2024","Canary 26100","文件资源管理器中的软件缺陷。","正在处理","<div>无</div>","https://github.com/Lingggao/LGHUB","<div>列表
<br>
<br>- 卡顿 / 严重卡顿
<br>- 内存泄漏
<br>- CPU 占用率高
<br>- 切换 “项目复选框” 选项时出现异常 - aka.ms/AApydtm
<br>- 缩放设定为 175% 时图标模糊不清 - aka.ms/AApytl6
<br>- 菜单中的文本可能过长 - aka.ms/AApyuo4
<br>- 出现多个地址栏 / 搜索栏 - aka.ms/AApymuw</div>",,"False"
"LGH01","3/13/2024","Canary 26080","仍有一些游戏在 Build 26080+ 中无法正常运行。","正在处理","<div>大多数游戏应当可以在 Build 26080 中恢复正常运行。如果您在预览体验版本中玩游戏时发现任何问题，请务必在反馈中心提交。</div>","https://github.com/Lingggao/LGHUB","<div>列表
<br>
<br>- Grand Theft Auto V (GTA 5) - aka.ms/AApjkjp
<br>- Avatar Frontiers of Pandora (阿凡达：潘多拉边境) - aka.ms/AApmqnc
<br>- Assassin&%2339;s Creed Origins (刺客信条：起源) - aka.ms/AApmqnc
<br>- Electronic Arts (EA) 旗下游戏 - aka.ms/AApsxln - 已修复 ✓
<br>- Battlefield 2042 (战地风云 2042) - aka.ms/AApjkk7 - 已修复 ✓
<br>- PUBG (绝地求生) - aka.ms/AApjd7p - 已修复 ✓
<br>- Watch Dogs: Legion (看门狗：军团) - aka.ms/AApr6d6 - 已修复 ✓
<br>- FARCRY 6/5 (孤岛惊魂 6/5) - aka.ms/AApr6d6 - 已修复 ✓
<br>- EVE Online (星战前夜) - aka.ms/AApjz1t - 已修复 ✓
<br>- It Takes Two (双人成行) - aka.ms/AApqr1c - 已修复 ✓</div>",,"False"
"LG156","4/14/2024","Canary 26100","切换窗口时输入法自动变化中英文。","正在调查","无","https://aka.ms/AAq0mfy","无",,"False"
"LG155","4/14/2024","Canary 26100","无法安装 Realtek - SoftwareComponent 更新。","正在调查","无","https://aka.ms/AApyfxg","无",,"False"
"LG154","4/12/2024","Canary 26100","连接着手柄关机时，提示 explorer.exe 内存错误。","正在调查","<div>无</div>","https://aka.ms/AAq0eju","<div>无</div>",,"False"
"LG153","4/11/2024","Canary 26100","C:\Windows\Microsoft.NET\... 配置解析器 0x80004005 错误。","需要更多详细信息","<div>请参照下方的步骤分享更多日志信息。</div>","https://aka.ms/AApy7yg","<div>步骤
<br>
<br>1. 转到 https://aka.ms/vscollect 下载 collect.exe。
<br>2. 此程序将创建 %TEMP%\vslogs.zip 压缩文件，包含所有 VS 和 .NET 日志。
<br>3. 将 vslogs.zip 上传至反馈中心。
<br>4. 将以下文件保存至 config.zip 压缩文件：
<br>&nbsp;&nbsp; - %windir%\Microsoft.NET\Framework\v4.0.30319\config\machine.config
<br>&nbsp;&nbsp; - %windir%\Microsoft.NET\Framework64\v4.0.30319\config\machine.config
<br>&nbsp;&nbsp; - %windir%\Microsoft.NET\Framework\v4.0.30319\config\web.config
<br>&nbsp;&nbsp; - %windir%\Microsoft.NET\Framework64\v4.0.30319\config\web.config
<br>5. 将 config.zip 上传至反馈中心。
<br>6. 请在评论中告诉我们：
<br>&nbsp;&nbsp; - 错误信息何时出现？
<br>&nbsp;&nbsp; - 错误信息与哪个应用有关？</div>",,"False"
"LG152","4/11/2024","Canary 26100","拖动音量合成器滑块时 “快速设置” 窗口崩溃。","正在调查","<div>无</div>","https://aka.ms/AAq0phj","<div>含图像</div>","Reserved_ImageAttachment_[14]_[_x56fe__x50cf_][5]_[LG152][1]_[1].png","False"
"LG151","4/10/2024","Canary 26100","鼠标指针可能随机变大。","正在调查","<div>无</div>","https://aka.ms/AApzunq","<div>无</div>",,"False"
"LG150","4/10/2024","Canary 26100","无法使用 PIN 登录安全模式。","正在调查","<div>无</div>","https://aka.ms/AApyjss","<div>无</div>",,"False"
"LG149","4/10/2024","Canary 26100","Windows 安全中心 “防火墙和网络保护” 页面中的图标变为方块。","正在调查","<div>无</div>","https://aka.ms/AApy8i2","<div>含图像</div>","Reserved_ImageAttachment_[14]_[_x56fe__x50cf_][5]_[LG149][1]_[1].png","False"
"LG148","4/10/2024","ALL","无法调整启动 “照片” 应用时窗口的大小。","正在调查","<div>无</div>","https://aka.ms/AApztdn","<div>无</div>",,"False"
"LG147","4/10/2024","ALL","Microsoft Family Safety 无法添加家庭组成员。","正在调查","<div>无</div>","https://aka.ms/AApzoge","<div>无</div>",,"False"
